id;name;status;rating;details
1;connecting Rhode Island convergence;false;71085;Pants connecting
2;International metrics;true;36714;sticky
3;Jewelery Refined payment;false;66378;South Carolina copying
4;scale Guinea Franc;false;17111;innovate Rustic
5;Salad content;false;74811;synthesizing
6;Shoes Practical;false;86755;cross-media neural deliverables
7;back-end International maximized;true;66483;green TCP Nauru
8;Music Ergonomic Granite Car Fantastic Frozen Computer;false;69488;teal Senior
9;New Mexico mobile;true;12255;Computers
10;Administrator Designer fuchsia;true;41050;Nepalese Rupee
