id;name;status;rating;details
1;Gourde US Dollar Manors override;true;83343;Personal Loan Account application
2;digital Group;true;10059;lime out-of-the-box
3;Soft Beauty Baby;false;65696;Savings Account
4;Rubber optical capacitor;false;12107;Granite leverage Virtual
5;Human Credit Card Account navigate;true;28671;web-readiness ADP
6;Kina Investment Account Connecticut;true;89007;neural methodical Avon
7;disintermediate eyeballs;true;13187;infomediaries
8;Intelligent Steel Pizza;true;76881;Chief Officer
9;Ball;false;89868;Hawaii
10;Niue;false;40864;leading edge
