id;name;status;rating;details
1;yellow cultivate;false;45664;online Serbia Investment Account
2;Skyway reboot Home Loan Account;true;21778;black Ameliorated
3;Interactions Savings Account;false;17322;mint green extensible Health
4;SAS Washington Borders;true;23216;Refined Principal Fantastic
5;fresh-thinking;true;56600;PNG
6;Unbranded Cotton Car Kansas;false;86254;Functionality interface
7;bypassing;true;62500;panel French Polynesia
8;index;false;27891;Indian Rupee Ngultrum
9;Practical;true;68158;compress Michigan process improvement
10;Practical Rubber Salad;false;34346;Health Rustic online
